Band Number,Date,Time,Site,Bander,Species,Sex,Age,Mass,Wing Chord,Culmen,r1 Length,r5 Width,r1-5 Wear,Gorget,Throat,Grooves,Comments
9000-39387,6/19/2007,10:06,MP1,FCE,BTLH,F,AHY,3.5,51.6,18.5,31.6,5.5,N,5c,M,,"c.p., or. pollen on crown, spider web on wing"
9000-39388,6/19/2007,10:06,MP1,FCE,BTLH,F,AHY,4.3,49.9,19,30.5,5,N,,H,,E8
9000-39389,6/19/2007,10:06,MP1,FCE,BTLH,F,AHY,3.4,50.1,18.3,29,5.3,N,,H,,c.p.
9000-39390,6/19/2007,10:30,MP1,FCE,BTLH,F,AHY,3.9,51.1,17.9,30,6,H,,L-M,,"E7, r3-4R HTW"
9000-39391,6/19/2007,10:50,MP1,FCE,BTLH,F,AHY,3.5,52.3,18,30.2,5.5,N,,M-H,,c.p.
9000-39392,6/19/2007,10:50,MP1,FCE,BTLH,F,AHY,3.6,49.6,19.1,29.9,5.8,N,2c,L-M,,E6
9000-39393,6/19/2007,10:50,MP1,FCE,BTLH,F,AHY,3.8,51.5,18.1,29,5,N,,,,
9000-39394,6/19/2007,11:30,MP1,FCE,BTLH,F,AHY,3.8,49.2,18.6,29.2,5.8,N,,M,,"E8, r1 stress bar"
9000-39395,6/19/2007,12:34,MP1,FCE,BTLH,F,AHY,3.4,50.4,19,30.4,5.5,N,,H,,E6-
9000-39396,6/19/2007,13:05,MP1,FCE,BTLH,F,AHY,3.9,50.1,19.5,30.1,5.6,N,,L,,c.p.
9000-39397,6/19/2007,13:05,MP1,FCE,BTLH,F,AHY,3.6,50.3,19,30.8,5.5,N,,3 v sm,,E6-
9000-39398,6/19/2007,13:05,MP1,FCE,BTLH,F,AHY,3.8,50.8,18.8,30,5.4,N,,L-M,,E6
9000-39399,6/19/2007,13:05,MP1,FCE,BTLH,F,AHY,4,51.7,19.1,30.6,5.3,N,,M,,c.p.
9000-39400,6/19/2007,13:40,MP1,FCE,BTLH,F,AHY,4,49.5,18.9,30,6,N,4c,M,,
9000-39401,6/19/2007,15:22,HPK1,FCE,BTLH,F,AHY,3.8,50,18.2,32,5.8,N,,L,,c.p.
9000-39402,6/19/2007,15:22,HPK1,FCE,BTLH,F,AHY,4.2,50.2,17.3,31.2,5.2,N,,M,,E6-
9000-39403,6/19/2007,15:52,HPK1,FCE,BTLH,F,AHY,3.6,50.4,20,29.5,5.5,M,,M,,"r3-4 MTW, 1 skeleton r1"
9000-39404,6/19/2007,15:52,HPK1,FCE,BTLH,F,AHY,3.4,51.7,18.2,30,5,H,,M,,"r5R only, HTW"
9000-39405,6/19/2007,16:10,HPK1,FCE,BTLH,F,AHY,3.9,50.4,18.6,31,5.2,L,,L,,"c.p., r3s LTW"
9000-39406,6/19/2007,17:00,HPK1,FCE,BTLH,F,AHY,3.6,51.6,19.4,30.9,5.3,L,4c,M,,"c.p., r3-5L LTW, spider web on wing"
9000-39407,6/19/2007,17:00,HPK1,FCE,BTLH,F,AHY,3.7,51.5,18.4,29.5,6,L,,H,,c.p.
9000-39408,6/19/2007,17:00,HPK1,FCE,BTLH,F,AHY,3.6,51.2,19,30.2,5.4,,2 v sm,L,,c.p.
9000-39409,6/19/2007,19:40,MCGC,FCE,BTLH,F,AHY,3.5,49.6,18.3,30,5.3,N,,M-H,,
9000-39410,6/19/2007,20:00,MCGC,FCE,BTLH,F,AHY,4.7,50.1,19.7,29.8,6,N,9,M,,"E8, 5 lg, 4 sm gorget feathers ctr"
9000-39411,6/20/2007,11:37,KV1,TBE,BTLH,F,AHY,3.5,49.1,18.1,31,5,N,,M,,"c.p., pollen on crown"
9000-39412,6/20/2007,11:49,KV1,TBE,BTLH,F,AHY,3.5,50.8,18.2,31,5.5,M,10c,H,,E7
9000-39413,6/20/2007,12:24,KV1,TBE,BTLH,F,AHY,3.5,49.9,18.4,29.5,5,N,1c,H,,c.p.
9000-39414,6/20/2007,13:55,GNMTN,TBE,BTLH,F,AHY,4.7,49.6,20.2,31,5,N,,H,,E9+
9000-39415,6/20/2007,14:09,GNMTN,TBE,BTLH,F,AHY,3.8,49.9,19.8,29.5,4.5,L,,L,,"E7, yellow pollen"
9000-39416,6/20/2007,14:14,GNMTN,TBE,BTLH,F,AHY,3.6,48.1,20,30,5,L,2c,M,,
9000-39417,6/20/2007,14:20,GNMTN,TBE,BTLH,F,AHY,3.6,48.3,19.1,29.5,,M,,H,,old r1s
9000-39418,6/20/2007,14:27,GNMTN,TBE,BTLH,F,AHY,4,50,19,31,,L,,L,,E8
9000-39419,6/20/2007,14:30,GNMTN,TBE,BTLH,F,AHY,3.4,49.1,18,29.3,,N,,L,,E7
9000-39420,6/20/2007,14:30,GNMTN,TBE,BTLH,F,AHY,4.2,48.3,19.6,29,5.5,N,,M,,E9
9000-39421,6/20/2007,14:41,GNMTN,TBE,BTLH,F,AHY,3.8,48.3,18.6,30,5,N,,M,,E9
9000-39422,6/20/2007,14:41,GNMTN,TBE,BTLH,F,AHY,4.1,49.5,18.8,31,4.5,N,,,,E9
9000-39423,6/20/2007,14:52,GNMTN,FCE,BTLH,F,AHY,4.1,50.4,20.5,30.5,5.2,N,6,H,,"c.p., gf chevron patern, lost r3R"
9000-39424,6/20/2007,15:01,GNMTN,FCE,BTLH,F,AHY,3.6,50.7,18.8,30.5,5,N,,L,,
9000-39425,6/20/2007,15:19,GNMTN,TBE,BTLH,F,AHY,3.5,49.6,18.5,30,5,N,,L,,
9000-39426,6/20/2007,15:19,GNMTN,FCE,BTLH,F,AHY,3.9,48,19,29,4.5,N,,M,,"E7, y-gn pollen, spider silk on wings and body"
9000-39427,6/20/2007,15:35,GNMTN,TBE,BTLH,F,AHY,3.6,49.3,18.1,29.5,6,N,,L,,E6
9000-39428,6/20/2007,15:38,GNMTN,TBE,BTLH,F,AHY,3.8,49.9,18.3,30.5,5.5,N,,H,,E9
9000-39429,6/21/2007,6:13,MCGC,FCE,BTLH,F,AHY,3.5,51.1,17.9,29.9,5.6,N,,M,,"or pollen on bill, spider web on wing"
9000-39430,6/21/2007,6:28,MCGC,FCE,BTLH,F,AHY,3.8,50.2,18.7,30.8,6,N,,M,,"c.p., or pollen on bill"
9000-39431,6/21/2007,6:28,MCGC,TBE,BTLH,F,AHY,3.6,49,18,31,5.5,M,,M,,"c.p., or pollen on bill"
9000-39432,6/21/2007,7:05,MCGC,FCE,BTLH,F,AHY,4,51.2,19.7,29.8,5.8,M,,M-H,,"c.p., r4s MTW"
9000-39433,6/21/2007,7:19,MCGC,FCE,BTLH,F,AHY,3.9,50,18.8,29.1,5.4,N,,M,,c.p.
9000-39434,6/21/2007,7:19,MCGC,TBE,BTLH,F,AHY,3.3,50,18.5,30,5,VH,,L,,E6
9000-39435,6/21/2007,7:28,MCGC,TBE,BTLH,F,AHY,3.2,49.7,19.1,32,5.5,H,1c,M,,c.p.
9000-39436,6/21/2007,7:28,MCGC,FCE,BTLH,F,AHY,3.1,49.6,18.5,29,5.2,N,,L-M,,
9000-39437,6/21/2007,17:01,MP1,FCE,BTLH,F,AHY,3.8,51.9,19,31.2,5.7,L,7c,M,,"c.p., r5R LTW"
9000-39438,6/21/2007,17:13,MP1,FCE,BTLH,F,AHY,3.9,49.1,18.9,30.2,5,N,,L,,"E8, spider silk on back"
9000-39439,6/21/2007,17:13,MP1,FCE,BTLH,F,AHY,3.5,52.2,18,31.2,4.8,H,3c,M,,"E7, r5R only HTW"
9000-39440,6/21/2007,17:13,MP1,FCE,BTLH,F,AHY,3.6,49.2,18.1,29.6,5.4,L,,M,,"E6, r3-5R LTW"
9000-39441,6/21/2007,17:13,MP1,FCE,BTLH,F,AHY,3.9,49.4,18.7,30.8,5.3,L,,L,,"E7, r3-5 LTW, 1 r1 skeleton"
9000-39442,6/21/2007,17:45,MP1,FCE,BTLH,F,AHY,3.3,49.5,18.5,30.1,4.8,L-M,,L,,"E6, r4,5R r3L MTW, r4,5L LTW, missing r3R"
9000-39443,6/21/2007,17:45,MP1,FCE,BTLH,F,AHY,3.2,48.7,18.2,30,5.4,N,2 v sm,M,,
9000-39444,6/21/2007,18:19,MP1,FCE,BTLH,F,AHY,3.7,50.6,18.1,28.8,5.2,L,18c,L-M,,"c.p., r4s LTW"
9000-39445,6/21/2007,18:19,MP1,FCE,BTLH,F,AHY,3.4,52,18.8,31.6,5.8,N,,L-M,,"c.p., new plumage"
9000-39446,6/21/2007,18:19,MP1,FCE,BTLH,F,AHY,3.9,51.1,19.7,32.8,5,N,,L,,"c.p., new plumage"
9000-39447,6/21/2007,18:51,MP1,FCE,BTLH,F,AHY,3.6,50.6,19.1,30,5.3,N,6c,L-M,,E6
9000-39448,6/21/2007,19:03,MP1,FCE,BTLH,F,AHY,3.5,50.2,18.4,29.8,5.2,N,,L,,c.p.
9000-39449,6/21/2007,19:15,MP1,FCE,BTLH,F,AHY,3.3,50.5,19,28,5,H,,L,,"c.p., r1-5 HTW, skeleton r1s"
9000-39450,6/21/2007,19:15,MP1,FCE,BTLH,F,AHY,3.6,50.7,17.2,29.9,5.2,N,,L-M,,c.p.
9000-39451,6/22/2007,9:46,GC1,FCE,BTLH,F,AHY,3.2,50.6,17.9,29.8,5.5,N,1 v sm,L-M,,"c.p., spider web on wing tip"
9000-39452,6/22/2007,9:57,GC1,FCE,BTLH,F,AHY,3.6,49.1,20.2,29,5.4,M,,M,,"c.p., old r1, spider web on r1"
9000-39453,6/22/2007,10:47,GC1,FCE,BTLH,F,AHY,3.3,49.5,18,28.6,5,N,,L-M,,"c.p., r2s lt bn tip"
9000-39454,6/22/2007,11:02,GC1,FCE,BTLH,F,AHY,3.4,50.4,18.2,29.2,5.8,N,3 sm c,M,,spider web on wingtips
9000-39455,6/22/2007,14:00,HPK1,FCE,BTLH,F,AHY,3.9,49.8,18.2,27.5,5.8,N,,M,,1 old r1
9000-39456,6/22/2007,14:20,HPK1,FCE,BTLH,F,AHY,3.7,50.1,18.3,30,5.2,N,,L,,E7
9000-39457,6/22/2007,14:30,HPK1,FCE,BTLH,F,AHY,3.5,50.9,20.2,28.2,5,N,,H,,
9000-39458*,6/22/2007,17:18,MCGC,FCE,BTLH,F,AHY,3.5,51.1,18,30.5,5.4,N,,L,,"*Former E12081, pine pitch on old band- band replaced "
9000-39459,6/23/2007,7:05,MCGC,FCE,BTLH,F,AHY,3.9,49.8,19.8,31,5.5,N,11c,M,,
9000-39460,6/23/2007,7:38,MCGC,FCE,BTLH,F,AHY,3.9,48.9,18.3,31,5.5,N,2c,M,,r2 white spot near tip
9000-39461,6/23/2007,7:38,MCGC,FCE,BTLH,F,AHY,3.2,49.4,18,30,6,L,,L-M,,"c.p., r3-5 LTW"
9000-39462,6/23/2007,7:38,MCGC,FCE,BTLH,F,AHY,3.6,50.6,18,29,5.2,VL,,H,,
9000-39463,6/23/2007,8:21,MCGC,FCE,BTLH,F,AHY,3.8,48.8,18.9,28,5.5,L,,M,,"c.p., r3,4 LTW, r1 skeleton"
9000-39464,6/23/2007,8:45,MCGC,FCE,BTLH,F,AHY,3.6,50.8,20.1,29.9,5.3,N,,L-M,,"c.p., r3,4 LTW, r1 skeleton"
9000-39465,6/27/2007,10:25,CC3,TBE,BTLH,F,AHY,3.4,51.3,18.2,31.5,6,N,,L,,E7
9000-39466,6/27/2007,10:28,CC3,TBE,BTLH,F,AHY,3.6,49.6,18.8,30.5,6,N,,L,,"E7, or pollen on crown"
9000-39467,6/27/2007,15:52,MP1,FCE,BTLH,F,AHY,3.5,49.8,18.2,29.8,5.5,L,8c,,,"c.p., r3-5 LTW"
9000-39468,6/27/2007,16:10,MP1,FCE,BTLH,F,AHY,3.4,49.7,19.2,30,5.5,VL,,H,,c.p.
9000-39469,6/27/2007,16:10,MP1,FCE,BTLH,F,AHY,3.5,51.6,18.8,30,5.8,N,,M,,E6
9000-39470,6/27/2007,16:32,MP1,FCE,BTLH,F,AHY,3.9,51.2,18.8,30.5,5.5,N,,M-H,,E6
9000-39471,6/27/2007,16:40,MP1,FCE,BTLH,F,AHY,3.5,51.5,19.2,30.6,4.5,H,,M,,"c.p., r1-5 HTW, skeleton r1s"
9000-39472,6/27/2007,16:40,MP1,FCE,BTLH,F,AHY,3.7,50.8,18.5,31,5.5,N,,H,,"E7, spider silk on wing"
9000-39473,6/27/2007,16:48,MP1,FCE,BTLH,F,AHY,3.5,50.1,19.5,30.2,5,N,,M-H,,E6
9000-39474,6/27/2007,19:34,MCGC,FCE,BTLH,F,AHY,3.4,50.6,18.9,31,5.1,L-M,,,,"c.p., r3-5 L-MTW"
9000-39475,6/28/2007,10:20,MCGC,TBE,BTLH,F,AHY,3.7,50.1,18.9,,5.5,N,,L,,"r1s missing, new r1s growing in"
9000-39476,6/28/2007,10:47,MCGC,FCE,BTLH,F,AHY,3.3,48.9,19.1,30.4,5,N,8c,L-M,,"c.p., or pollen on bill"
9000-39477,6/28/2007,11:40,MCGC,TBE,BTLH,F,AHY,3.6,48.6,18.3,30.5,6,N,,L,,c.p.
9000-39478,6/28/2007,12:28,MCGC,TBE,BTLH,F,AHY,3.8,50,19,30.5,5,M,,L,,
9000-39479,6/29/2007,12:01,HOLZ,TBE,BTLH,F,AHY,3.7,50.3,17.6,31,6,M,1c,M,,"c.p., or. pollen"
9000-39480,6/29/2007,12:15,HOLZ,TBE,BTLH,F,AHY,3.7,51.3,17.7,31,6.1,L,,L,,c.p.
9000-39481,6/29/2007,12:32,HOLZ,TBE,BTLH,F,AHY,3.8,49.7,17.5,29.5,5,L,2c,M,,E8
9000-39482,6/29/2007,12:35,HOLZ,FCE,BTLH,F,AHY,4.2,50.6,19.2,30.2,6,N,,M,,E7
9000-39483,6/29/2007,13:15,HOLZ,TBE,BTLH,F,AHY,4,50.2,18.2,32,5.5,H,6c,H,,E7
9000-39484,6/29/2007,13:28,HOLZ,TBE,BTLH,F,AHY,4.3,49.8,19.2,31,6,L,,H,,E9
9000-39485,6/29/2007,13:33,HOLZ,FCE,BTLH,F,AHY,3.7,51.8,18,31,5,N,,L,,c.p.
9000-39486,6/29/2007,13:40,HOLZ,FCE,BTLH,F,AHY,3.5,51.3,18,31,5.5,L,,L-M,,"r3R only LTW, r1 black tip "
9000-39487,6/29/2007,13:46,HOLZ,FCE,BTLH,F,AHY,3.9,50.9,18.9,31.5,5.8,L,,L-M,,"E7, r3-5R LTW"
9000-39488,6/29/2007,13:54,HOLZ,TBE,BTLH,F,AHY,3.9,47.9,18.3,30,5,H,,L,,"E7, skeleton r1, faint black tip"
9000-39489,6/29/2007,13:55,HOLZ,TBE,BTLH,F,AHY,4.1,51.3,19,32,5,N,2 lg,L,,E8
9000-39490,6/29/2007,13:55,HOLZ,TBE,BTLH,F,AHY,4.2,49.6,18.7,30,6,L-H,,H,,"r5R HTW, r5L LTW"
9000-39491,6/29/2007,14:15,HOLZ,TBE,BTLH,F,AHY,4.5,51.1,19,30,6,N,,L,,E9
9000-39492,6/29/2007,14:28,HOLZ,TBE,BTLH,F,AHY,3.5,50.3,17.5,29.8,5.2,N,,L,,"c.p., blk tip r1, yellow pollen"
9000-39493,6/29/2007,14:43,HOLZ,FCE,BTLH,F,AHY,3.9,50.9,18.1,30.2,5.5,M,,M,,"E6, r3-5 MTW"
9000-39494,6/29/2007,14:48,HOLZ,FCE,BTLH,F,AHY,3.9,51.7,20.2,30.6,5.8,N,,,,
9000-39495,6/29/2007,16:35,GNMTN,TBE,BTLH,F,AHY,3.9,49.6,19,30.5,5.5,N,20c,H,,post egg laying condition
9000-39496,6/29/2007,16:46,GNMTN,TBE,BTLH,F,AHY,3.3,48.5,18,30,5,N,3 sm c,M,,c.p.
9000-39497,6/29/2007,17:03,GNMTN,TBE,BTLH,F,AHY,3.4,49.6,19.5,31,5,N,3c,H,,"r1,5 blk dot at center of tip"
9000-39498,6/29/2007,17:19,GNMTN,TBE,BTLH,F,AHY,4.5,47.6,19,28,6,M,,L,,"E9, r1 str bar, cobwebs on wing tip and tail"
9000-39499,6/29/2007,17:45,GNMTN,TBE,BTLH,F,AHY,3.5,49.1,18.5,30,5.5,H,,L-M,,"E9, old plumage, r3-5 HTW"
9000-39500,6/29/2007,18:00,GNMTN,TBE,BTLH,F,AHY,3.3,49.7,18.5,29,5.5,N,7c,H,,c.p.
9000-39501,6/30/2007,12:43,GC1,FCE,BTLH,F,AHY,3.6,50.2,18.2,30,5.2,L,,M-H,,"c.p., r3-5 LTW, spider silk on tail"
9000-39502,6/30/2007,12:50,GC1,FCE,BTLH,F,AHY,3.5,49.5,18.3,30,5.2,N,,L,,c.p.
9000-39503,6/30/2007,13:50,GC1,TBE,BTLH,F,AHY,3.6,49.8,18.9,31,5,N,,H,,"c.p., new plumage, insect diet"
9000-39504,6/30/2007,18:55,MCGC,TBE,BTLH,F,AHY,3.6,48.4,18.4,30,5.5,N,8c,L,,E7
9000-39505,6/30/2007,18:50,MCGC,FCE,BTLH,F,AHY,3.6,50.3,19,29.1,6,N,,L,,c.p.
9000-39506,6/30/2007,19:12,MCGC,TBE,BTLH,F,AHY,3.6,50.2,20,32,6,N,,L,,E6
9000-39507,6/30/2007,19:12,MCGC,FCE,BTLH,F,AHY,4.2,48.5,18,30.8,5.5,L,,M-H,,"E7, spider silk on wing"
9000-39508,6/30/2007,19:25,MCGC,FCE,BTLH,F,AHY,3.4,48.4,18.5,29.7,5.2,L,,M-H,,"c.p., r3L LTW, r1 faint blk tip"
9000-39509,6/30/2007,19:45,MCGC,TBE,BTLH,F,AHY,3.8,50.4,18.9,30,5,,,,,E6
9000-39510,6/30/2007,19:45,MCGC,FCE,BTLH,F,AHY,3.6,49.5,18.9,29.1,6,N,,VL,,"E6, r1 faint blk tip"
9000-39511,7/1/2007,6:50,MCGC,FCE,BTLH,F,AHY,3.9,51.2,18.7,29,5,N,,M,,"E6-, orange pollen"
9000-39512,7/1/2007,6:50,MCGC,FCE,BTLH,F,AHY,3.3,49.6,18.8,30.8,5.1,N,,L-M,,r1 blk tip
9000-39513,7/1/2007,7:05,MCGC,FCE,BTLH,F,AHY,3.7,50.5,19,30.8,5.5,N,,M-H,,"E7, or pollen"
9000-39514,7/1/2007,7:55,MCGC,FCE,BTLH,F,AHY,4.3,49.5,18,30,5.2,N,,M,,c.p.
9000-39515,7/2/2007,7:23,MCGC,FCE,BTLH,F,AHY,3.7,49.9,18.6,29.6,5.2,N,,H,,"L leg banded, rt leg had prior minor injury"
9000-39516,7/1/2007,7:55,MCGC,FCE,BTLH,F,AHY,4.2,49.2,18.1,29.2,5.2,N,,M,,E8
9000-39517,7/1/2007,8:20,MCGC,FCE,BTLH,F,AHY,4,49.5,19,30.2,5.2,N,,M,,c.p.
9000-39518,7/2/2007,7:23,MCGC,FCE,BTLH,F,AHY,3.7,49,18.9,29.8,4.8,L,,L-M,,c.p.
9000-39519,7/2/2007,7:23,MCGC,FCE,BTLH,F,AHY,3.9,49.9,18,29.8,5.6,N,,H,,c.p.
9000-39520,7/2/2007,8:00,MCGC,FCE,BTLH,F,AHY,3.5,49.1,19.3,30.9,5.6,N,,M,,E7
9000-39521,7/2/2007,8:23,MCGC,FCE,BTLH,F,AHY,3.5,50.2,19.1,30.6,5,L,,M-H,,"r1, r3L, R4R stress bars "
9000-39522,7/2/2007,8:43,MCGC,FCE,BTLH,F,AHY,4.2,51.2,18.5,30,5.5,L,9c,H,,"E6, bill curves slightly to rt, r5R stress bar, spider silk on back"
9000-39523,7/2/2007,9:00,MCGC,FCE,BTLH,F,AHY,4.2,49.7,18.3,29,5.3,N,,M,,old bill injury at tip-missing 1.3 mm of upper mandible 
9000-39524,7/2/2007,9:20,MCGC,FCE,BTLH,F,AHY,3.9,50.5,18,31,6,N,,M,,c.p.
9000-39525,7/5/2007,9:12,MCGC,FCE,BTLH,F,AHY,3.8,51.3,18.2,31,5.1,VL,,M,,
9000-39526,7/5/2007,9:12,MCGC,FCE,BTLH,F,AHY,3.7,48.9,18,28.8,5.3,N,8,,,"c.,p., gf in vertical line"
9000-39527,7/5/2007,9:44,MCGC,FCE,BTLH,F,AHY,3.3,49.6,18,30.2,5.5,N,1 v sm,M,,
9000-39528,7/5/2007,10:03,MCGC,FCE,BTLH,F,AHY,3.6,50.1,18.4,28.2,5.7,H,6c,M-H,,"r1,2 str bar, skeleton r1, r2-5 HTW"
9000-39529,7/5/2007,18:59,CC3,FCE,BTLH,F,AHY,3.5,51.7,18,29.5,5.4,H,,L-M,,"c.p., faint stress bar r1,2"
9000-39530,7/6/2007,11:00,KV1,FCE,BTLH,F,AHY,3.5,49.3,18.5,30.3,5.4,N,,L-M,,"c.p., spider webs on wing"
9000-39531,7/6/2007,11:50,KV1,FCE,BTLH,F,AHY,3.5,50.6,19.4,32,5.4,N,4 gn,L-M,,c.p.
9000-39532,7/6/2007,13:32,GNMTN,TBE,BTLH,F,AHY,3.7,49.6,18.5,29,6,N,,M,,E7
9000-39533,7/6/2007,14:00,GNMTN,TBE,BTLH,F,AHY,3.7,49.1,18.5,30,5.5,M,,M,,"E7, r4L MTW others NTW, r1 blk tip"
9000-39534,7/6/2007,14:28,GNMTN,TBE,BTLH,F,AHY,3.6,47.7,17.6,30,5.5,N,,M,,E6
9000-39535,7/6/2007,14:40,GNMTN,TBE,BTLH,F,AHY,3.7,50.4,18.5,31,5,L,,L-M,,"c.p., skeleton r1"
9000-39536,7/6/2007,15:00,GNMTN,FCE,BTLH,F,AHY,3.3,50.2,18,30.2,5.3,N,6c,M,,c.p.
9000-39537,7/6/2007,15:16,GNMTN,TBE,BTLH,F,AHY,4.5,50.5,19.8,30,5.2,N,,L,,E9
9000-39538,7/6/2007,15:25,GNMTN,TBE,BTLH,F,AHY,3.3,50.3,18.7,27.3,5.1,N,,M-H,,
9000-39539,7/7/2007,6:07,MCGC,FCE,BTLH,F,AHY,3.2,48.2,18.7,29,5.4,N,,L,,
9000-39540,7/7/2007,11:38,GC1,FCE,BTLH,F,AHY,3.8,50.5,19.3,29.6,5.5,L,,M,,"r3 MTW, others LTW, yellow pollen on bill"
9000-39541,7/7/2007,6:55,MCGC,FCE,BTLH,F,AHY,3.5,49.6,19.2,29.1,5.2,N,,L,,1 skeleton r1
9000-39542,7/7/2007,11:45,GC1,FCE,BTLH,F,AHY,3.6,49.4,19.3,29.5,5.5,N-L,,M-H,,"c.p., r1 LTW, others NTW"
9000-39543,7/7/2007,12:21,GC1,FCE,BTLH,F,AHY,3.6,48.9,18,30.7,5.8,N,1c,L,,c.p.
9000-39544,7/7/2007,12:48,GC1,FCE,BTLH,F,AHY,3.6,50.3,18.1,30,5.4,N,8c,L,,c.p.
9000-39545,7/7/2007,16:00,HPK1,TBE,BTLH,F,AHY,3.9,49.7,19.4,29,6,N,,L,,
9000-39546,7/7/2007,16:28,HPK1,TBE,BTLH,F,AHY,3.5,49.2,18.1,29,5.4,N,10c,M,,E8
9000-39547,7/7/2007,16:43,HPK1,FCE,BTLH,F,AHY,4.1,50.1,19.1,29.2,5.6,N,,L-M,,or pollen on bill
9000-39548,7/7/2007,16:55,HPK1,FCE,BTLH,F,AHY,4.1,50.2,19,30,5,,11c,,,
9000-39549,7/8/2007,16:35,MP1,TBE,BTLH,F,AHY,3.5,49.4,18.1,32,5,N,8c,H,,E8
9000-39550,7/8/2007,16:40,MP1,FCE,BTLH,F,AHY,3.8,51.3,18.8,30.1,5.5,M,,L-M,,c.p.
9000-39551,7/8/2007,16:40,MP1,TBE,BTLH,F,AHY,3.9,49.1,18.2,31,5,N,,L,,E8
9000-39552,7/8/2007,16:53,MP1,TBE,BTLH,F,AHY,3.6,50.2,18.5,29.5,6,N,,VL,,c.p.
9000-39553,7/8/2007,16:57,MP1,TBE,BTLH,F,AHY,4,50,18.1,30,5.5,N,,L,,E8+
9000-39554,7/8/2007,17:08,MP1,TBE,BTLH,F,AHY,3.9,50.6,18.5,29,4,H,,H,,"all but r2s VHTW, skeleton r1"
9000-39555,7/8/2007,17:15,MP1,TBE,BTLH,F,AHY,4.4,50.5,19,31,6,L,,H,,E8
9000-39556,7/8/2007,18:25,MP1,FCE,BTLH,F,AHY,3.2,50.7,18,29,5.8,H,,H,,"E6, r4,5L, r3R HTW, skeleton r1"
9000-39557,7/8/2007,18:25,MP1,FCE,BTLH,F,AHY,3.6,51.3,17.9,30.8,5.5,N,,M,,
9000-39558,7/8/2007,18:25,MP1,FCE,BTLH,F,AHY,3.4,51.7,19.9,32,5.3,,,H,,
9000-39559,7/9/2007,7:23,MCGC,FCE,BTLH,F,AHY,3.5,50.2,19,29.5,4.8,N,,M-H,,
9000-39560,7/9/2007,7:23,MCGC,FCE,BTLH,F,AHY,3.9,50.4,19.2,29.9,5,N,,L,,
9000-39561,7/9/2007,7:23,MCGC,TBE,BTLH,F,AHY,3.3,49.2,18.2,29,5,N,,L,,"c.p., new r1s"
9000-39562,7/9/2007,7:23,MCGC,FCE,BTLH,F,AHY,3.8,51.2,18.6,31.2,5.5,N,,M,,
9000-39563,7/9/2007,7:45,MCGC,FCE,BTLH,F,AHY,4.1,48.6,18,28.6,5.2,N,,L,,E8
9000-39564,7/9/2007,7:45,MCGC,TBE,BTLH,F,AHY,3.5,51.2,18.5,30,5.5,N,,L,,c.p.
9000-39565,7/9/2007,7:45,MCGC,FCE,BTLH,F,AHY,3.6,51.4,19.6,29.8,5.2,M-H,,M,,"r3-5 M-HTW, r1 MTW"
9000-39566,7/9/2007,8:16,MCGC,FCE,BTLH,F,AHY,3.9,49.6,18.2,30.9,5,L,,M,,r2s LTW
9000-39567,7/9/2007,8:30,MCGC,FCE,BTLH,F,AHY,3.4,51,18,30.2,5.3,L,,H,,r3-5 LTW
9000-39568,7/9/2007,8:30,MCGC,FCE,BTLH,F,AHY,3.8,50.1,19,31.2,5.8,M,4c,L-M,,r3-6 MTW
9000-39569,7/9/2007,8:50,MCGC,FCE,BTLH,F,AHY,3.5,49.4,18.4,30.6,5.5,L,1 v sm,H,,r3-5 except r5L LTW
9000-39570,7/9/2007,17:00,HPK1,TBE,BTLH,F,AHY,3.6,50.9,18.2,32.5,5.5,L,,H,,E8
9000-39571,7/9/2007,17:00,HPK1,TBE,BTLH,F,AHY,3.7,48.9,17.3,31,6,VH,6c,H,,"c.p., r3,4 VHTW"
9000-39572,7/9/2007,17:29,HPK1,TBE,BTLH,F,AHY,3.8,49.3,19,30,6,L,,H,,"old r1s, y-or pollen on bill"
9000-39573,7/9/2007,17:45,HPK1,TBE,BTLH,F,AHY,3.3,49.1,18.1,32,5.5,N,2 v sm,L,,c.p.
9000-39574,7/9/2007,17:35,HPK1,TBE,BTLH,F,AHY,3.9,48.8,19.1,31,6,N,,L,,
9000-39575,7/10/2007,7:15,MCGC,FCE,BTLH,F,AHY,3.7,49.3,18,29.8,5,N,,L,,"E6, old r1s and tail coverts"
9000-39576,7/10/2007,7:15,MCGC,FCE,BTLH,F,AHY,3.8,49.7,19.2,30.5,5,N,,M,,
9000-39577,7/10/2007,8:55,MCGC,FCE,BTLH,F,AHY,3.6,49,19.7,28.5,5.5,N,,L,,
9000-39578,7/10/2007,8:55,MCGC,FCE,BTLH,F,AHY,4.2,50.4,18.8,30.2,5,N,,L-M,,
9000-39579,7/10/2007,9:50,MCGC,FCE,BTLH,F,AHY,3.4,49.5,19.1,30,5.3,VL,,L,,r1 black tip
9000-39580,7/10/2007,9:50,MCGC,FCE,BTLH,F,AHY,4.2,51.5,19,30.5,5.1,L-M,,VL,,
9000-39581,7/10/2007,12:22,MCGC,FCE,BTLH,F,AHY,4,50.8,,30,4.8,M,,L-M,,r4-5 MTW
9000-39582,7/14/2007,11:12,WC1,FCE,BTLH,F,AHY,3.8,50.6,18.8,30.4,5.4,L,,M,,c.p.
9000-39583,7/14/2007,11:35,WC1,FCE,BTLH,F,AHY,3.5,51,18.5,30,5,L,,M,,c.p.
