Band Number,Date,Time,Site,Bander,Species,Age,Sex,Mass,Wing Chord,Culmen,r1 Length,r5 Width,r1-5 Wear,Gorget,Throat,Grooves,Comments,Old Band Number
4100-08397,6/21/2010,5:58,MCGC,FCE,BTLH,AHY,F,3.4,49.2,18.5,30,,,,,,,
4100-08398,6/21/2010,6:15,MCGC,FCE,BTLH,AHY,F,3.7,50.8,18.3,29.2,,,,,,E6,
4100-08399,6/21/2010,6:15,MCGC,FCE,BTLH,AHY,F,3.6,50.4,18,30,,,,,,E6,
4100-08400,6/21/2010,7:05,MCGC,FCE,BTLH,AHY,F,4.1,50.9,19.5,29.5,,,,,,E6,
4100-08401,7/9/2010,13:10,HPK2,FCE,BTLH,AHY,M,3.31,49.9,18.2,32,,,,,,,
4100-08402,7/9/2010,15:15,MP1,FCE,BTLH,AHY,M,3.35,50.2,18.5,31,,,,,,,
4100-08403,7/5/2010,19:30,MCGC,TBE,BTLH,AHY,F,3.5,49.8,19,32,,,,,,,
4100-08404,7/9/2010,15:15,MP1,FCE,BTLH,AHY,M,3.12,49.1,17.6,30.5,,,,,,,
4100-08405,7/9/2010,15:25,MP1,FCE,BTLH,AHY,M,3.27,49.8,17.3,31,,,,,,,
4100-08406,7/9/2010,15:35,MP1,FCE,BTLH,AHY,M,3.45,49.6,17.8,29.3,,,,,,,
4100-08407,7/11/2010,16:15,KV1,FCE,RUHU,HY,F,3.7,46.3,17.4,27.5,,,,,,4 g.f.c,
4100-08408,7/11/2010,15:10,KV1,FCE,RUHU,HY,F,3.97,44.8,18,26.8,,,,,,"2 sm gf, 80% striation",
4100-08409,7/11/2010,18:40,GNMTN,FCE,BTLH,AHY,M,3.3,50.1,18,30.2,,,,,,,
4100-08410,7/12/2010,11:09,GC1,FCE,BTLH,AHY,M,3.1,49.9,16.5,31,,,,,,,
4100-08411,7/12/2010,11:32,GC1,FCE,BTLH,AHY,M,3.1,50.5,18.2,30.2,,,,,,,
4100-08412,7/14/2010,6:12,MCGC,FCE,RUHU,AHY,F,3.5,45.1,17.2,25.3,,,,,,,
4100-08413,7/14/2010,6:25,MCGC,FCE,RUHU,AHY,F,3.4,43.1,18.2,26.9,,,,,,,
4100-08414,7/14/2010,7:18,MCGC,TBE,RUHU,AHY,F,3.8,43.8,17.5,26,,,,,,,
4100-08415,7/14/2010,7:18,MCGC,TBE,RUHU,AHY,F,3.6,42.3,18,27.5,,,,,,,
4100-08416,7/14/2010,8:15,MCGC,FCE,BTLH,AHY,M,3.4,50,18,31.2,,,,,,,
4100-08417,7/14/2010,8:15,MCGC,FCE,RUHU,AHY,F,3.4,43.3,17.8,26.6,,,,,,,
4100-08418,7/14/2010,8:55,MCGC,FCE,BTLH,AHY,M,3.4,48.9,17.1,31,,,,,,,
4100-08419,7/14/2010,8:55,MCGC,FCE,RUHU,AHY,F,3.1,43.1,17.2,27.1,,,,,,,
4100-08420,7/5/2010,18:47,MCGC,TBE,BTLH,AHY,F,3.6,49.5,18.6,32,,,,,,,
4100-08421,7/16/2010,7:08,MCGC,TBE,RUHU,AHY,F,3.6,43.5,17.9,28,,,,,,,
4100-08422,7/16/2010,7:20,MCGC,FCE,RUHU,AHY,F,3.6,43.5,17.1,26.5,,,,,,,
4100-08423,7/16/2010,7:40,MCGC,FCE,BTLH,AHY,M,3.7,48.9,17.4,31,,,,,,,
4100-08424,7/16/2010,8:00,MCGC,TBE,RUHU,AHY,F,3.4,43.5,16.8,27.5,,,,,,,
4100-08425,7/16/2010,8:26,MCGC,FCE,BTLH,AHY,M,3.5,49,17.1,31,,,,,,,
4100-08426,7/19/2010,14:45,KV1,FCE,CAHU,AHY,M,2.76,39,14.8,18.2,,,,,,,
4100-08427,7/19/2010,18:15,GNMTN,FCE,CAHU,AHY,M,2.8,39.9,15.4,18,,,,,,,
4100-08428,7/20/2010,10:31,MCGC,FCE,CAHU,AHY,M,3,39.2,14.2,19,,,,,,used narrower band,410005801
4100-08429,7/24/2010,20:00,MCGC,FCE,CAHU,AHY,F,3,43.2,15.2,21,,,,,,,
4100-08430,7/30/2010,7:14,MCGC,FCE,CAHU,AHY,F,2.7,41.3,16.1,21.8,,,,,,,
4100-08431,7/5/2010,19:34,MCGC,TBE,BTLH,AHY,F,3.5,49.6,18.6,31,,,,,,,
4100-08432,7/5/2010,19:34,MCGC,TBE,BTLH,AHY,F,3.6,49.8,18.8,32,,,,,,,
4100-08433,7/6/2010,14:51,HPK2,FCE,BTLH,AHY,F,3.74,49.4,19.1,29,,,,,,foreign,900052557
4100-08434,7/9/2010,16:10,MP1,FCE,BTLH,AHY,F,3.65,50.4,18.3,30.5,,,,,,,
4100-08435,7/9/2010,16:10,MP1,FCE,BTLH,AHY,F,3.33,49.9,18.3,31.1,,,,,,,
4100-08436,7/9/2010,16:30,MP1,FCE,BTLH,AHY,F,3.76,48.2,19.5,30,,,,,,,
4100-08437,7/9/2010,16:30,MP1,FCE,BTLH,AHY,F,3.5,49.5,19.1,29.5,,,,,,,
4100-08438,7/9/2010,16:45,MP1,FCE,BTLH,AHY,F,3.4,50.9,18.9,31.2,,,,,,,
4100-08439,7/9/2010,16:45,MP1,FCE,BTLH,AHY,F,3.44,50.5,18.8,29.8,,,,,,,
4100-08440,7/10/2010,8:20,MCGC,TBE,BTLH,AHY,F,4,50.9,19,32,,,,,,,
4100-08441,7/10/2010,8:20,MCGC,TBE,BTLH,AHY,F,3.4,51.8,18,32.5,,,,,,,
4100-08442,7/10/2010,8:39,MCGC,FCE,BTLH,AHY,F,3.9,48.6,19.6,29.2,,,,,,,
4100-08443,7/10/2010,9:31,MCGC,FCE,BTLH,AHY,F,3.7,49.5,18.4,29.8,,,,,,,
4100-08444,7/10/2010,11:48,CC3,FCE,BTLH,AHY,F,3.18,50.8,18.1,30,,,,,,,
4100-08445,7/10/2010,11:58,CC3,FCE,BTLH,AHY,F,3.41,49.7,18.7,30,,,,,,,
4100-08447,7/10/2010,11:58,CC3,FCE,BTLH,AHY,F,3.02,50.3,18.2,30.1,,,,,,,
4100-08448,7/10/2010,12:15,CC3,FCE,BTLH,AHY,F,3.77,49.2,18.3,30.6,,,,,,E7,
4100-08449,7/10/2010,12:50,CC3,FCE,BTLH,AHY,F,3.68,51.1,18.7,30.2,,,,,,,
4100-08450,7/10/2010,12:55,CC3,FCE,BTLH,AHY,F,3.3,49.8,18.2,30.8,,,,,,,
4100-08451,7/3/2010,15:25,MP1,FCE,BTLH,AHY,F,4.26,51.1,17.4,30.8,,,,,,,
4100-08452,7/3/2010,15:30,MP1,FCE,BTLH,AHY,F,3.16,49.1,19.1,31,,,,,,,
4100-08453,7/3/2010,15:36,MP1,FCE,BTLH,AHY,F,3.89,49.6,18.9,29.5,,,,,,E6,
4100-08454,7/3/2010,15:47,MP1,FCE,BTLH,AHY,F,3.5,51,18.5,30.2,,,,,,,
4100-08455,7/3/2010,15:47,MP1,FCE,BTLH,AHY,F,3.42,49.1,18.8,30.3,,,,,,,
4100-08456,7/3/2010,16:15,MP1,FCE,BTLH,AHY,F,3.63,51.6,18.7,30.5,,,,,,,
4100-08457,7/3/2010,16:15,MP1,FCE,BTLH,AHY,F,4.31,49.9,18.1,29.8,,,,,,E9,
4100-08458,7/3/2010,16:37,MP1,FCE,BTLH,AHY,F,4.01,50.1,18.2,30,,,,,,,
4100-08459,7/3/2010,17:05,MP1,FCE,BTLH,AHY,F,3.85,51.8,18.1,30.1,,,,,,,
4100-08460,7/3/2010,17:05,MP1,FCE,BTLH,AHY,F,3.58,51.9,19.9,31.1,,,,,,,
4100-08461,7/4/2010,7:30,MCGC,FCE,BTLH,AHY,F,4.1,51.1,18.9,31,,,,,,,
4100-08462,7/4/2010,8:08,MCGC,FCE,BTLH,AHY,F,4.2,51.3,19.3,30.2,,,,,,E8,
4100-08463,7/4/2010,8:30,MCGC,FCE,BTLH,AHY,F,3.5,50.3,18.1,31.1,,,,,,,
4100-08464,7/4/2010,8:43,MCGC,FCE,BTLH,AHY,F,3.4,49.9,18.6,29,,,,,,,
4100-08465,7/5/2010,7:30,MCGC,FCE,BTLH,AHY,F,3.7,49.8,,,,,,,,pine pitch on band,410008132
4100-08466,7/5/2010,8:22,MCGC,FCE,BTLH,AHY,F,4.2,50.3,18.1,30.8,,,,,,E6,
4100-08467,7/5/2010,8:45,MCGC,FCE,BTLH,AHY,F,3.4,50.9,18,32,,,,,,,
4100-08468,7/5/2010,18:47,MCGC,TBE,BTLH,AHY,F,3.6,49.9,18.9,31,,,,,,,
4100-08469,7/5/2010,18:47,MCGC,TBE,BTLH,AHY,F,3.5,50.2,18.6,32,,,,,,,
4100-08470,7/5/2010,18:47,MCGC,TBE,BTLH,AHY,F,3.8,50.7,18.8,31,,,,,,,
4100-08471,7/3/2010,18:07,MP1,FCE,BTLH,AHY,M,3.6,50.2,17.2,32.5,,,,,,,
4100-08472,7/3/2010,16:37,MP1,FCE,BTLH,AHY,M,3.48,49.1,17.2,31.3,,,,,,,
4100-08473,7/6/2010,12:30,MP1,FCE,BTLH,AHY,M,3.05,50.9,18.1,33,,,,,,,
4100-08474,7/10/2010,8:39,MCGC,TBE,RUHU,AHY,F,3.4,42.5,16.5,26.8,,,,,,,
4100-08475,7/11/2010,10:23,HOLZ,FCE,BTLH,AHY,M,3.5,48.3,17.8,31,,,,,,,
4100-08476,7/11/2010,10:35,HOLZ,FCE,BTLH,AHY,M,3.5,51,17.9,30.2,,,,,,,
4100-08477,7/11/2010,10:50,HOLZ,FCE,RUHU,AHY,F,3.3,44.5,18,27.5,,,,,,,
4100-08478,7/11/2010,10:59,HOLZ,FCE,BTLH,AHY,M,3.19,50.2,16.8,30.2,,,,,,,
4100-08479,7/11/2010,11:05,HOLZ,FCE,BTLH,AHY,M,,51.4,18,30.6,,,,,,,
4100-08480,7/11/2010,14:55,KV1,FCE,BTLH,AHY,M,3.11,50.2,18.3,31,,,,,,,
4100-08481,7/9/2010,15:45,MP1,FCE,BTLH,AHY,F,4.17,50.6,18.8,31.3,,,,,,E7,
4100-08482,7/9/2010,16:45,MP1,FCE,BTLH,AHY,F,3.41,49.3,18.3,30,,,,,,,
4100-08483,7/9/2010,16:45,MP1,FCE,BTLH,AHY,F,3.56,49.5,18.1,30,,,,,,,
4100-08484,7/17/2010,10:10,MCGC,FCE,BTLH,AHY,F,4.1,,,,,,,,,,500011757
4100-08485,7/20/2010,10:31,MCGC,FCE,BTLH,AHY,F,3.4,51,19.8,30.2,,,,,,,
4100-08486,6/22/2010,12:20,MP1,FCE,BTLH,AHY,F,3.99,51,19.1,31.3,,,,,,date is correct,
4100-08487,7/27/2010,6:20,MCGC,FCE,BTLH,AHY,F,4,51.2,18.5,32,,,,,,,
4100-08488,8/12/2010,8:00,MCGC,TBE,BTLH,HY,F,3.8,49.4,15.8,29.5,,,,,,,
4100-08491,7/6/2010,6:02,MCGC,FCE,BTLH,AHY,F,3.8,49.5,18.1,30,,,,,,,
4100-08492,7/6/2010,6:46,MCGC,TBE,BTLH,AHY,F,3.5,49.8,18.2,29.5,,,,,,,
4100-08493,6/19/2010,11:49,MCGC,FCE,BTLH,AHY,F,3.5,49.1,18.3,31,,,,,,E6,
4100-08494,7/6/2010,10:56,MP1,FCE,BTLH,AHY,F,3.43,49.6,19,30.8,,,,,,,
4100-08495,7/6/2010,11:17,MP1,FCE,BTLH,AHY,F,3.32,49.9,18.1,30,,,,,,,
4100-08496,7/6/2010,11:30,MP1,FCE,BTLH,AHY,F,3.77,51,17.5,30,,,,,,,
4100-08497,7/6/2010,11:58,MP1,FCE,BTLH,AHY,F,3.11,49.7,18.5,30.5,,,,,,,
4100-08498,7/6/2010,12:47,MP1,FCE,BTLH,AHY,F,4.48,51.7,17.9,30.9,,,,,,E7+,
4100-08499,7/6/2010,12:55,MP1,FCE,BTLH,AHY,F,3.79,50.9,19.1,31,,,,,,,
4100-08500,7/6/2010,14:10,HPK2,FCE,BTLH,AHY,F,3.63,50.6,18.9,30.7,,,,,,,
4100-08501,7/2/2010,6:35,MCGC,FCE,BTLH,AHY,M,3.9,47.9,17.8,30,,,,,,,
4100-08502,7/2/2010,7:07,MCGC,FCE,BTLH,AHY,M,3.1,49.5,17.8,31,,,,,,,
4100-08503,7/3/2010,9:17,MCGC,TBE,BTLH,AHY,M,3.1,48.1,17.2,32,,,,,,,
4100-08504,7/4/2010,6:43,MCGC,FCE,RUHU,AHY,F,3.6,46.7,18,28,,,,,,,
4100-08505,7/4/2010,6:50,MCGC,TBE,BTLH,AHY,M,3.1,50.5,17.2,32,,,,,,,
4100-08506,7/4/2010,7:10,MCGC,FCE,BTLH,AHY,M,3.6,51.7,17.3,32,,,,,,,
4100-08507,7/5/2010,6:20,MCGC,FCE,BTLH,AHY,M,3.1,49.2,17.8,31,,,,,,,
4100-08508,7/5/2010,8:17,MCGC,FCE,BTLH,AHY,M,3.5,49.7,17.8,31,,,,,,,
4100-08509,7/6/2010,6:45,MCGC,FCE,BTLH,AHY,M,3.4,50,16.2,31,,,,,,,
4100-08510,7/6/2010,7:46,MCGC,FCE,RUHU,AHY,F,3.6,44.1,17.5,28,,,,,,,
4100-08511,6/30/2010,13:55,MP1,FCE,RUHU,AHY,F,3.42,43.9,17.9,27.8,,,,,,,
4100-08512,6/30/2010,15:06,MP1,FCE,BTLH,AHY,M,3.23,48.8,17.1,30.2,,,,,,,
4100-08513,6/30/2010,15:17,MP1,FCE,BTLH,AHY,M,3.28,48.7,17.9,31,,,,,,,
4100-08514,6/30/2010,15:45,MP1,FCE,BTLH,AHY,M,3.26,49.8,17.2,32.5,,,,,,,
4100-08515,7/5/2010,18:50,CC3,FCE,BTLH,AHY,M,3.45,49.8,17.1,32,,,,,,"pine pitch on band, leg",310042840
4100-08516,7/6/2010,10:47,MP1,FCE,BTLH,AHY,M,3.49,49.3,17.4,32,,,,,,,
4100-08517,7/6/2010,11:46,MP1,FCE,BTLH,AHY,M,3.4,49.5,17.1,32,,,,,,,
4100-08518,7/6/2010,11:46,MP1,FCE,BTLH,AHY,M,3.54,49.6,18.9,31.8,,,,,,,
4100-08519,7/6/2010,11:58,MP1,FCE,BTLH,AHY,M,3.19,48.6,17.6,31.2,,,,,,,
4100-08520,7/6/2010,11:58,MP1,FCE,BTLH,AHY,M,3.24,48.4,16.5,30,,,,,,,
4100-08521,7/1/2010,15:43,MCGC,TBE,BTLH,AHY,F,3.5,49,18.6,30,,,,,,,
4100-08522,7/2/2010,6:00,MCGC,FCE,BTLH,AHY,F,3.5,50.1,19.1,31,,,,,,,
4100-08523,7/2/2010,6:06,MCGC,FCE,BTLH,AHY,F,3.3,50.2,18,29,,,,,,,
4100-08524,7/2/2010,6:30,MCGC,FCE,BTLH,AHY,F,3.5,50,18.1,32,,,,,,,
4100-08525,7/2/2010,6:55,MCGC,FCE,BTLH,AHY,F,3.4,49.5,17.8,30.5,,,,,,,
4100-08527,7/3/2010,9:26,MCGC,TBE,BTLH,AHY,F,3.8,50.7,19.5,30.5,,,,,,,
4100-08528,7/3/2010,10:30,MCGC,TBE,BTLH,AHY,F,3.8,49.8,19.9,31,,,,,,,
4100-08529,7/3/2010,10:38,MCGC,FCE,BTLH,AHY,F,3.8,51.1,18.2,31.8,,,,,,,
4100-08530,7/4/2010,6:43,MCGC,FCE,BTLH,AHY,F,3.4,50.4,17.9,31.5,,,,,,,
4100-08531,7/3/2010,17:05,MP1,FCE,RUHU,AHY,M,3.21,39.6,15.5,27.5,,,,,,,
4100-08532,7/9/2010,15:35,MP1,FCE,RUHU,AHY,M,3.3,40.4,16.2,29,,,,,,,
4100-08533,7/9/2010,16:59,MP1,FCE,RUHU,AHY,M,3.59,40.8,17.1,28.8,,,,,,,
4100-08534,7/10/2010,9:12,MCGC,FCE,RUHU,AHY,M,3.3,40.7,15.9,28.1,,,,,,,
4100-08535,7/10/2010,9:35,MCGC,FCE,RUHU,AHY,M,3.4,39.6,16.2,27.4,,,,,,,
4100-08536,7/10/2010,19:20,MCGC,FCE,RUHU,AHY,M,3.3,39.3,16.2,29,,,,,,,
4100-08537,7/11/2010,15:10,KV1,FCE,RUHU,AHY,M,3.41,40.3,16.5,27.2,,,,,,,
4100-08538,7/14/2010,5:51,MCGC,FCE,RUHU,AHY,M,3.3,39.9,16.2,28,,,,,,,
4100-08539,7/14/2010,6:25,MCGC,TBE,RUHU,AHY,M,3.1,39,15.8,27,,,,,,,
4100-08540,7/14/2010,6:52,MCGC,TBE,RUHU,AHY,M,3.2,39.6,14.9,29,,,,,,,
4100-08541,7/1/2010,14:10,GNMTN,FCE,BTLH,AHY,F,4.42,49.1,20.1,30,,,,,,E9,
4100-08542,7/1/2010,14:14,GNMTN,FCE,BTLH,AHY,F,3.74,50.4,18,30.4,,,,,,,
4100-08543,7/1/2010,14:14,GNMTN,FCE,BTLH,AHY,F,3.5,48.9,18.8,32,,,,,,,
4100-08544,7/1/2010,16:45,HOLZ,FCE,BTLH,AHY,F,3.69,51.4,19,31.8,,,,,,,
4100-08545,7/1/2010,16:45,HOLZ,FCE,BTLH,AHY,F,3.96,50.5,18.1,31,,,,,,E7,
4100-08546,7/1/2010,17:08,HOLZ,FCE,BTLH,AHY,F,3.9,49.5,17.3,30.5,,,,,,,
4100-08547,7/1/2010,17:28,HOLZ,FCE,BTLH,AHY,F,3.56,51.4,18.8,31.2,,,,,,,
4100-08548,7/1/2010,17:46,HOLZ,FCE,BTLH,AHY,F,4.25,51.1,19.8,30.3,,,,,,E6,
4100-08549,7/1/2010,17:46,HOLZ,FCE,BTLH,AHY,F,3.68,50,18.1,30.1,,,,,,,
4100-08550,7/1/2010,18:07,HOLZ,FCE,BTLH,AHY,F,4.13,50.9,19,31.8,,,,,,E7,
4100-08551,7/3/2010,10:50,MCGC,FCE,BTLH,AHY,F,3.6,50.3,19.2,31.1,,,,,,,
4100-08552,7/3/2010,10:55,MCGC,FCE,BTLH,AHY,F,3.4,50,19.7,29,,,,,,,
4100-08553,7/5/2010,17:55,CC3,FCE,BTLH,AHY,F,4.41,50.6,19,30.1,,,,,,,
4100-08554,7/5/2010,18:18,CC3,FCE,BTLH,AHY,F,3.74,49.9,19.2,32.5,,,,,,,
4100-08555,7/5/2010,18:35,CC3,FCE,BTLH,AHY,F,3.57,49.1,18.2,29.1,,,,,,,
4100-08556,7/5/2010,19:17,CC3,FCE,BTLH,AHY,F,3.51,49.9,19.8,29.9,,,,,,,
4100-08557,7/5/2010,19:24,CC3,FCE,BTLH,AHY,F,3.93,50.7,19.8,31,,,,,,,
4100-08558,7/5/2010,19:46,CC3,FCE,BTLH,AHY,F,3.31,49.3,18,30,,,,,,,
4100-08559,7/9/2010,6:28,MCGC,FCE,BTLH,AHY,F,3.8,48.7,17.8,29,,,,,,,
4100-08560,7/9/2010,7:10,MCGC,FCE,BTLH,AHY,F,,48.8,18.2,29.8,,,,,,,310042369
4100-08561,7/9/2010,7:47,MCGC,TBE,BTLH,AHY,F,3.8,48.9,18.5,31,,,,,,,
4100-08562,7/9/2010,14:00,HPK2,FCE,BTLH,AHY,F,3.77,50.8,18.1,31.8,,,,,,,
4100-08563,7/9/2010,15:25,MP1,FCE,BTLH,AHY,F,3.28,48.4,18.5,29.3,,,,,,,
4100-08564,7/9/2010,15:25,MP1,FCE,BTLH,AHY,F,3.63,50.8,18,30,,,,,,,
4100-08565,7/9/2010,15:50,MP1,FCE,BTLH,AHY,F,3.52,50.6,19,30.5,,,,,,,
4100-08566,7/9/2010,15:50,MP1,FCE,BTLH,AHY,F,3.5,51.4,18.9,31,,,,,,,
4100-08567,7/9/2010,16:00,MP1,FCE,BTLH,AHY,F,3.8,49.5,19,30,,,,,,,
4100-08568,7/9/2010,16:05,MP1,FCE,BTLH,AHY,F,3.79,50,18.2,30.9,,,,,,,
4100-08569,7/9/2010,16:05,MP1,FCE,BTLH,AHY,F,3.7,49.7,19.3,29,,,,,,E6,
4100-08570,7/9/2010,16:05,MP1,FCE,BTLH,AHY,F,4.1,49.9,19.3,30,,,,,,,
4100-08571,6/27/2010,11:30,HPK2,FCE,BTLH,AHY,F,3.3,50.6,,,,,,,,pine pitch on band,900039222
4100-08572,6/27/2010,11:52,HPK2,FCE,BTLH,AHY,F,3.42,51.2,19.1,31,,,,,,,
4100-08573,6/27/2010,12:10,HPK2,FCE,BTLH,AHY,F,3.21,49.1,19,29.9,,,,,,,
4100-08574,6/27/2010,12:35,HPK2,FCE,BTLH,AHY,F,3.42,50.1,19,30.5,,,,,,,
4100-08575,6/27/2010,18:02,MCGC,FCE,BTLH,AHY,F,3.7,50.2,20,31,,,,,,,
4100-08576,6/27/2010,18:26,MCGC,FCE,BTLH,AHY,F,3.9,49,18,29,,,,,,E8,
4100-08577,6/28/2010,10:06,MP1,FCE,BTLH,AHY,F,3.43,49.5,18,30,,,,,,,
4100-08578,6/28/2010,10:47,MP1,FCE,BTLH,AHY,F,3.46,50.9,18,31,,,,,,,
4100-08579,6/28/2010,10:58,MP1,FCE,BTLH,AHY,F,3.26,50.8,18.1,29.9,,,,,,,
4100-08580,6/28/2010,11:10,MP1,FCE,BTLH,AHY,F,3.49,49.1,19.1,30.8,,,,,,,
4100-08581,6/28/2010,11:47,MP1,FCE,BTLH,AHY,F,3.27,50,19.2,30.5,,,,,,,
4100-08582,6/28/2010,11:59,MP1,FCE,BTLH,AHY,F,4.36,51.4,19,32.2,,,,,,E8,
4100-08583,6/28/2010,11:59,MP1,FCE,BTLH,AHY,F,4.22,50.4,18.1,30.2,,,,,,,
4100-08584,6/28/2010,12:07,MP1,FCE,BTLH,AHY,F,3.7,50.7,19.5,29.8,,,,,,,
4100-08585,6/28/2010,12:07,MP1,FCE,BTLH,AHY,F,3.41,50.7,18.2,31,,,,,,,
4100-08586,6/28/2010,12:07,MP1,FCE,BTLH,AHY,F,3.6,50.5,19.2,30,,,,,,,
4100-08587,6/29/2010,16:10,HPK2,FCE,BTLH,AHY,F,3.61,52,19.5,30.3,,,,,,,
4100-08588,6/29/2010,19:25,MCGC,FCE,BTLH,AHY,F,3.8,49.9,18.3,30,,,,,,,
4100-08589,6/29/2010,19:43,MCGC,FCE,BTLH,AHY,F,3.5,49.8,18.8,29.8,,,,,,,
4100-08590,6/29/2010,20:11,MCGC,FCE,BTLH,AHY,F,3.4,49.9,18.2,31.2,,,,,,,
4100-08591,6/30/2010,13:45,MP1,FCE,BTLH,AHY,F,3.2,50.7,19.3,30.1,,,,,,,
4100-08592,6/30/2010,14:07,MP1,FCE,BTLH,AHY,F,3.55,50.5,18.8,31.4,,,,,,,
4100-08593,6/30/2010,14:20,MP1,FCE,BTLH,AHY,F,3.5,49.9,,30,,,,,,,
4100-08594,6/30/2010,14:29,MP1,FCE,BTLH,AHY,F,3.61,51.1,18.1,30.5,,,,,,,
4100-08595,6/30/2010,14:37,MP1,FCE,BTLH,AHY,F,3.88,49.5,19,28.5,,,,,,E8,
4100-08596,6/30/2010,14:42,MP1,FCE,BTLH,AHY,F,3.76,51.3,18.9,30.2,,,,,,,
4100-08597,6/30/2010,14:51,MP1,FCE,BTLH,AHY,F,3.73,51.7,19.2,31,,,,,,,
4100-08598,6/30/2010,15:25,MP1,FCE,BTLH,AHY,F,3.55,50.6,19.2,30,,,,,,,
4100-08599,6/30/2010,15:34,MP1,FCE,BTLH,AHY,F,3.4,50.5,18.1,31,,,,,,,
4100-08600,7/1/2010,10:15,KV1,FCE,BTLH,AHY,F,3.54,51,18.3,30.8,,,,,,,
4100-08601,6/24/2010,16:30,HPK2,FCE,BTLH,AHY,F,3.69,49.4,19.2,29,,,,,,E6,
4100-08602,6/24/2010,16:30,HPK2,FCE,BTLH,AHY,F,3.83,50.8,18,31.2,,,,,,,
4100-08603,6/24/2010,16:40,HPK2,FCE,BTLH,AHY,F,3.53,50.1,19.2,30.8,,,,,,,
4100-08604,6/26/2010,18:23,MCGC,FCE,BTLH,AHY,F,4,51.5,19.2,32,,,,,,,
4100-08605,6/26/2010,18:23,MCGC,FCE,BTLH,AHY,F,4.1,50.7,19,29,,,,,,E6,
4100-08606,6/26/2010,18:36,MCGC,FCE,BTLH,AHY,F,4,50.4,18.5,29.6,,,,,,,
4100-08607,6/26/2010,18:36,MCGC,FCE,BTLH,AHY,F,3.7,50.7,18.9,31.2,,,,,,,
4100-08608,6/26/2010,19:04,MCGC,FCE,BTLH,AHY,F,4.2,48.6,19.2,29.5,,,,,,E6,
4100-08609,6/26/2010,19:21,MCGC,FCE,BTLH,AHY,F,3.6,50,19.7,31.1,,,,,,,
4100-08610,6/26/2010,19:37,MCGC,FCE,BTLH,AHY,F,3.2,49.1,18.8,28,,,,,,,
4100-08611,7/1/2010,10:35,KV1,FCE,BTLH,AHY,F,3.74,49.8,19.3,29.2,,,,,,E7+,
4100-08612,7/1/2010,10:46,KV1,FCE,BTLH,AHY,F,3.46,50,19,30.2,,,,,,,
4100-08613,7/1/2010,10:53,KV1,FCE,BTLH,AHY,F,3.68,50.8,19.1,30.8,,,,,,,
4100-08614,7/1/2010,11:07,KV1,FCE,BTLH,AHY,F,3.61,51.6,18.8,31.6,,,,,,,
4100-08615,7/1/2010,11:16,KV1,FCE,BTLH,AHY,F,3.94,50.6,19.2,30.1,,,,,,,
4100-08616,7/1/2010,11:29,KV1,FCE,BTLH,AHY,F,3.54,51.1,19.4,30,,,,,,,
4100-08617,7/1/2010,11:29,KV1,FCE,BTLH,AHY,F,3.27,49.7,18.3,30,,,,,,,
4100-08618,7/1/2010,11:39,KV1,FCE,BTLH,AHY,F,3.7,51.1,18.8,31.2,,,,,,,
4100-08619,7/1/2010,13:03,GNMTN,FCE,BTLH,AHY,F,3.53,49.6,18,31.1,,,,,,,
4100-08620,7/1/2010,13:03,GNMTN,FCE,BTLH,AHY,F,3.6,49.6,19,30,,,,,,,
4100-08621,7/1/2010,13:18,GNMTN,FCE,BTLH,AHY,F,3.9,50.6,,,,,,,,"E7, missing r1s",
4100-08622,7/1/2010,13:22,GNMTN,FCE,BTLH,AHY,F,3.42,49.7,18.7,30,,,,,,,
4100-08623,7/1/2010,13:22,GNMTN,FCE,BTLH,AHY,F,3.27,50.2,19.7,30,,,,,,,
4100-08624,7/1/2010,13:22,GNMTN,FCE,BTLH,AHY,F,3.98,49.5,18.8,29.4,,,,,,E6,
4100-08625,7/1/2010,13:22,GNMTN,FCE,BTLH,AHY,F,3.62,49.6,19.2,31,,,,,,,
4100-08626,7/1/2010,14:15,GNMTN,FCE,BTLH,AHY,F,3.36,48.8,18.3,30,,,,,,,
4100-08627,7/1/2010,14:22,GNMTN,FCE,BTLH,AHY,F,3.64,49.3,19.2,30.2,,,,,,,
4100-08628,7/1/2010,14:22,GNMTN,FCE,BTLH,AHY,F,3.58,50.9,18.6,30.5,,,,,,,
4100-08629,7/1/2010,14:22,GNMTN,FCE,BTLH,AHY,F,3.39,49.6,19.2,29.5,,,,,,,
4100-08630,7/1/2010,10:15,KV1,FCE,BTLH,AHY,F,3.54,51,18.3,30.8,,,,,,E6+,
4100-08631,6/23/2010,17:44,KV1,FCE,BTLH,AHY,F,3.56,48.5,18,30,,,,,,E6+,
4100-08632,6/23/2010,18:47,GNMTN,FCE,BTLH,AHY,F,3.63,49.7,18.1,30.7,,,,,,,
4100-08633,6/23/2010,18:55,GNMTN,FCE,BTLH,AHY,F,3.93,50.8,19.3,31.8,,,,,,,
4100-08634,6/23/2010,19:03,GNMTN,FCE,BTLH,AHY,F,3.62,48.7,18.2,28,,,,,,,
4100-08635,6/23/2010,19:04,GNMTN,FCE,BTLH,AHY,F,4.49,51.5,18.5,31.5,,,,,,E9,
4100-08636,6/23/2010,19:22,GNMTN,FCE,BTLH,AHY,F,4.39,50.3,18.9,30.2,,,,,,,
